"INDEX","DATE","TYPE","LOCATION","MAX KILLED","MIN KILLED","MAX CHILDREN KILLED","MIN CHILDREN KILLED","MAX CIVILIANS KILLED","MIN CIVILIANS KILLED","MAX INJURIES","MIN INJURIES"
"AFG196","22 May 2016","US strike","Karkani, Achin, Nangarhar, Afghanistan","9","9","0","0","0","0","0","0"
"AFG200","26 May 2016","US strike","Elbak, Kandahar, Afghanistan","7","7","0","0","0","0","2","2"
"AFG197","26 May 2016","US strike","Sarobi, Achin, Nangarhar, Afghanistan","6","6","0","0","0","0","0","0"
"AFG198","26 May 2016","US strike","Pirakhel, Wazir, Nangarhar, Afghanistan","4","4","0","0","0","0","0","0"
"AFG199","26 May 2016","US strike","Kot, Nangarhar, Afghanistan","2","2","0","0","0","0","0","0"
"SOM039","27 May 2016","Air operation - drone or airstrike","South-central Somalia, Somalia","1","1","0","0","0","0","0","0"
"AFG204","29 May 2016","US strike","Sayedabad, Maidan Wardak, Afghanistan","2","2","0","0","0","0","0","0"
"AFG201","29 May 2016","US strike","Kangari Kando, Haska Mena, Nangarhar, Afghanistan","6","6","0","0","0","0","0","0"
"AFG202","29 May 2016","US strike","Kata Sang, Shaha Wali Kot, Kandahar, Afghanistan","22","17","0","0","0","0","0","0"
"AFG203","29 May 2016","US strike","De Bala, Nangarhar, Afghanistan","2","2","0","0","0","0","0","0"
"AFG205","02 June 2016","US strike","Kharkot, Gayan, Paktika, Afghanistan","10","10","0","0","0","0","0","0"
"AFG206","08 June 2016","US strike","Sar Rawza, Paktika, Afghanistan","2","2","0","0","0","0","0","0"
"YEM231","09 June 2016","US drone strike","Bayda, Yemen","2","2","0","0","0","0","0","0"
"YEM232","10 June 2016","US drone strike","Mareb, Yemen","2","2","0","0","0","0","0","0"
"AFG208","11 June 2016","US strike","Azara, Logar, Afghanistan","11","11","0","0","3","0","0","0"
"AFG209","11 June 2016","US strike","Ghwagezai, Hesarak, Nangarhar, Afghanistan","6","6","0","0","0","0","0","0"
